Fiscal Year Released,Recidivism Reporting Year,Main Supervising District,Release Type,Race - Ethnicity,Age At Release ,Sex,Offense Classification,Offense Type,Offense Subtype,Return to Prison,Days to Return,Recidivism Type,New Offense Classification,New Offense Type,New Offense Sub Type,Target Population
2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,433,New,C Felony,Drug,Trafficking,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,453,Tech,,,,No
2010,2013,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,832,Tech,,,,Yes
2010,2013,6JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Other,Other Criminal,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,116,Tech,,,,No
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,84,Tech,,,,Yes
2010,2013,7JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Other Violent,Yes,274,Tech,,,,Yes
2010,2013,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,165,New,D Felony,Drug,Other Drug,Yes
2010,2013,1JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,249,Tech,,,,Yes
2010,2013,8JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,1001,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No
2010,2013,1JD,Parole,Black - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,Under 25,Male,D Felony,Public Order,OWI,Yes,763,New,Serious Misdemeanor,Violent,Assault,No
2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Theft,Yes,598,Tech,,,,Yes
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Female,C Felony,Violent,Sex,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
2010,2013,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Drug,Trafficking,Yes,399,New,D Felony,Drug,Trafficking,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,Under 25,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,5JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,497,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,147,Tech,,,,Yes
2010,2013,5JD,Parole,White - Non-Hispanic,Under 25,Male,D Felony,Property,Theft,Yes,263,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,467,New,D Felony,Property,Burglary,No
2010,2013,7JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,160,Tech,,,,Yes
2010,2013,6JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,White - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,,No Recidivism,,,,Yes
2010,2013,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,55 and Older,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,314,Tech,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Alcohol,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,White - Hispanic,Under 25,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,No
2010,2013,7JD,Parole,White - Non-Hispanic,45-54,Female,Felony - Enhanced,Drug,Trafficking,Yes,898,New,Aggravated Misdemeanor,Violent,Assault,Yes
2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,212,New,Serious Misdemeanor,Violent,Assault,No
2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Female,D Felony,Drug,Other Drug,No,,No Recidivism,,,,No
2010,2013,6JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Property,Burglary,Yes,166,Tech,,,,Yes
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,Yes,653,New,D Felony,Property,Forgery/Fraud,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhanced,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,No,,No Recidivism,,,,No
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhanced,Property,Theft,Yes,582,New,Felony - Enhancement to Original Penalty,Other,Other Criminal,No
2010,2013,,Discharged – End of Sentence,American Indian or Alaska Native - Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,No,,No Recidivism,,,,No
2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,7JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,B Felony,Other,Other Criminal,Yes,629,Tech,,,,Yes
2010,2013,1JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,Yes,796,New,Aggravated Misdemeanor,Property,Theft,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,272,New,Aggravated Misdemeanor,Public Order,Traffic,No
2010,2013,,Discharged – End of Sentence,Asian or Pacific Islander - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Vandalism,No,,No Recidivism,,,,No
2010,2013,2JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,455,New,Aggravated Misdemeanor,Violent,Assault,Yes
2010,2013,8JD,Parole,White - Hispanic,35-44,Male,C Felony,Violent,Robbery,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Female,B Felony,Violent,Sex,No,,No Recidivism,,,,No
2010,2013,4JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,White - Non-Hispanic,Under 25,Male,C Felony,Drug,Other Drug,No,,No Recidivism,,,,Yes
2010,2013,,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Violent,Other Violent,No,,No Recidivism,,,,No
2010,2013,1JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Public Order,Weapons,No,,No Recidivism,,,,Yes
2010,2013,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,,No Recidivism,,,,Yes
