Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Main Supervising District,Release Type,Release type: Paroled to Detainder united,Part of Target Population,Recidivism - Return to Prison numeric
2010,2013,White - Non-Hispanic,Under 25,D Felony,Violent,Assault,4JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,D Felony,Public Order,OWI,7JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Burglary,5JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,55 and Older,C Felony,Drug,Trafficking,8JD,Parole,Parole,Yes,1
2010,2013,Black - Non-Hispanic,25-34,D Felony,Drug,Trafficking,3JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Burglary,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,3JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Property,Burglary,1JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,Aggravated Misdemeanor,Violent,Other Violent,5JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,C Felony,Violent,Robbery,8JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,Aggravated Misdemeanor,Property,Theft,4JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,45-54,D Felony,Public Order,OWI,3JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Violent,Sex,8JD,Special Sentence,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Drug,Trafficking,4JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,3JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Property,Theft,5JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,Aggravated Misdemeanor,Violent,Sex,4JD,Special Sentence,Special Sentence,Yes,1
2010,2013,White - Non-Hispanic,25-34,Felony - Enhanced,Drug,Trafficking,7JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Property,Forgery/Fraud,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,American Indian or Alaska Native - Non-Hispanic,25-34,D Felony,Violent,Assault,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,Black - Non-Hispanic,45-54,D Felony,Public Order,Sex Offender Registry/Residency,7JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,Under 25,D Felony,Property,Vandalism,2JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,25-34,D Felony,Drug,Other Drug,3JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,C Felony,Drug,Trafficking,5JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Drug,Drug Possession,8JD,Parole,Parole,Yes,1
2010,2013,Black - Non-Hispanic,45-54,Aggravated Misdemeanor,Property,Theft,,Discharged End of Sentence,Discharged End of Sentence,No,1
2010,2013,White - Non-Hispanic,25-34,C Felony,Drug,Trafficking,2JD,Parole,Parole,Yes,1
2010,2013,White - Non-Hispanic,35-44,D Felony,Violent,Sex,5JD,Special Sentence,Special Sentence,Yes,1
